visit_id,doctor_id,rep_id,visit_date,prescriptions_before,prescriptions_after
140,D0020,R013,2026-01-15,6,2.4
141,D0020,R013,2026-02-07,6,11.1
142,D0020,R012,2025-07-23,6,7.2
143,D0020,R012,2025-09-06,6,11.1
144,D0020,R013,2025-07-31,6,2.7
145,D0020,R012,2026-07-12,6,7.5
146,D0020,R013,2025-09-15,6,10.1
147,D0020,R012,2025-08-16,6,7.3
148,D0020,R012,2025-07-24,6,9.2
149,D0021,R015,2026-06-02,68,69.7
150,D0021,R010,2025-11-17,68,70.4
151,D0022,R007,2026-05-20,64,64.5
152,D0022,R003,2025-09-08,64,67.0
153,D0022,R017,2026-04-11,64,61.5
154,D0022,R005,2026-06-26,64,68.9
155,D0022,R003,2026-04-03,64,65.6
156,D0022,R024,2025-12-27,64,65.5
157,D0022,R017,2025-08-04,64,65.1
158,D0022,R005,2025-11-19,64,64.1
159,D0022,R017,2025-07-18,64,64.3
160,D0022,R017,2026-05-01,64,63.9
161,D0022,R007,2025-10-17,64,68.7
162,D0022,R024,2026-05-22,64,67.1
163,D0022,R017,2025-11-24,64,61.3
164,D0022,R003,2026-03-06,64,64.2
165,D0023,R015,2025-08-25,25,27.1
166,D0023,R016,2026-05-20,25,29.4
167,D0023,R010,2026-03-08,25,28.2
168,D0023,R015,2026-06-01,25,28.9
169,D0023,R016,2025-12-13,25,28.3
170,D0024,R022,2025-10-17,37,41.2
171,D0024,R022,2025-11-10,37,38.4
172,D0024,R018,2025-12-27,37,44.9
173,D0024,R023,2025-08-08,37,45.5
174,D0024,R018,2026-02-16,37,45.7
175,D0024,R001,2025-10-18,37,40.8
176,D0024,R001,2026-06-15,37,39.7
177,D0024,R022,2026-04-15,37,44.2
178,D0024,R018,2026-07-12,37,40.1
179,D0024,R002,2025-10-12,37,45.0
180,D0025,R025,2025-11-04,80,83.7
181,D0025,R012,2025-08-06,80,80.5
182,D0025,R025,2025-10-10,80,78.7
183,D0026,R012,2025-07-28,62,67.2
184,D0026,R004,2025-10-31,62,65.3
185,D0026,R004,2025-10-21,62,61.5
186,D0026,R012,2025-11-18,62,64.9
187,D0026,R013,2026-05-18,62,59.4
188,D0026,R004,2026-04-30,62,63.0
189,D0026,R012,2026-01-09,62,69.5
190,D0026,R013,2026-04-26,62,66.5
191,D0026,R012,2026-06-05,62,68.1
192,D0026,R025,2026-06-16,62,66.4
193,D0026,R012,2025-10-14,62,65.5
194,D0027,R010,2025-10-20,26,28.4
195,D0027,R016,2025-12-03,26,27.0
196,D0027,R016,2025-07-26,26,25.3
197,D0027,R011,2025-09-03,26,33.8
198,D0027,R011,2025-10-06,26,27.3
199,D0028,R014,2026-05-05,93,98.8
200,D0028,R014,2025-12-21,93,91.2
201,D0028,R008,2026-01-29,93,97.5
202,D0028,R009,2026-07-04,93,93.8
203,D0028,R014,2026-01-15,93,103.5
204,D0028,R009,2026-03-06,93,91.7
205,D0028,R014,2026-03-26,93,96.5
206,D0028,R014,2025-10-24,93,89.4
207,D0028,R021,2025-12-10,93,99.7
208,D0029,R025,2025-09-25,53,55.6
209,D0029,R012,2026-03-25,53,56.6
210,D0029,R013,2026-05-25,53,55.0
211,D0030,R024,2026-06-01,95,98.4
212,D0030,R017,2026-02-06,95,91.4
213,D0030,R024,2026-05-20,95,97.2
214,D0030,R007,2026-02-25,95,99.1
215,D0030,R024,2026-03-22,95,98.3
216,D0031,R013,2025-11-10,63,62.5
217,D0031,R012,2026-06-07,63,74.2
218,D0031,R012,2025-07-18,63,68.1
219,D0031,R004,2025-09-30,63,65.2
220,D0031,R004,2025-11-07,63,64.7
221,D0031,R012,2026-05-23,63,66.3
222,D0031,R012,2026-04-23,63,70.0
223,D0032,R011,2025-10-07,46,51.6
224,D0032,R011,2026-07-06,46,53.3
225,D0032,R010,2026-06-15,46,49.0
226,D0032,R010,2026-05-02,46,43.5
227,D0032,R015,2026-03-19,46,39.6
228,D0032,R016,2026-03-23,46,44.1
229,D0032,R010,2025-12-17,46,41.4
230,D0032,R010,2025-08-12,46,47.7
231,D0032,R011,2026-04-04,46,51.2
232,D0032,R011,2026-02-04,46,52.1
233,D0032,R016,2026-04-18,46,50.8
234,D0032,R011,2026-02-13,46,51.9
235,D0032,R015,2026-04-12,46,48.9
236,D0033,R006,2025-12-20,96,94.8
237,D0033,R003,2025-08-09,96,97.9
238,D0033,R017,2026-03-17,96,95.2
239,D0033,R024,2026-03-10,96,98.4
240,D0033,R003,2025-11-28,96,103.4
241,D0033,R003,2026-01-12,96,101.9
242,D0033,R006,2026-06-27,96,94.3
243,D0033,R003,2026-06-17,96,99.8
244,D0034,R011,2026-05-23,64,66.4
245,D0034,R016,2026-01-18,64,63.0
246,D0034,R010,2026-03-20,64,66.5
247,D0034,R015,2026-05-19,64,68.3
248,D0034,R011,2025-08-17,64,71.5
249,D0034,R015,2025-10-22,64,71.4
250,D0034,R011,2026-03-26,64,71.9
251,D0034,R016,2026-02-11,64,59.1
252,D0035,R024,2026-01-18,84,84.0
253,D0035,R006,2025-11-29,84,92.9
254,D0035,R005,2026-06-17,84,83.4
255,D0035,R017,2025-12-02,84,83.1
256,D0035,R024,2026-05-30,84,88.5
257,D0035,R006,2025-11-24,84,83.6
258,D0035,R007,2026-07-01,84,85.3
259,D0035,R024,2025-09-12,84,82.9
260,D0035,R005,2026-06-27,84,93.2
261,D0035,R017,2025-11-05,84,83.1
262,D0035,R017,2026-01-17,84,86.3
263,D0036,R020,2025-11-29,19,16.7
264,D0036,R019,2026-01-15,19,19.4
265,D0036,R001,2026-05-31,19,23.4
266,D0036,R023,2025-12-26,19,23.1
267,D0036,R022,2026-01-13,19,18.3
268,D0036,R001,2025-11-03,19,25.6
269,D0036,R019,2026-05-25,19,18.2
270,D0037,R004,2026-06-08,66,68.3
271,D0037,R012,2025-11-05,66,65.0
272,D0037,R013,2026-03-21,66,70.5
273,D0037,R012,2026-06-09,66,69.6
274,D0037,R004,2025-08-03,66,74.1
275,D0037,R025,2025-10-25,66,66.6
276,D0037,R012,2025-09-19,66,71.4
277,D0038,R012,2025-08-14,66,68.7
278,D0038,R025,2026-03-29,66,71.1
279,D0038,R013,2026-06-18,66,70.0
280,D0038,R013,2026-01-08,66,69.6
281,D0038,R025,2026-05-27,66,69.8
282,D0038,R013,2026-06-23,66,66.2
283,D0038,R013,2026-03-08,66,69.3
284,D0039,R009,2025-07-16,51,46.9
285,D0039,R021,2025-11-21,51,57.6
286,D0039,R014,2025-08-04,51,51.5
287,D0039,R008,2026-04-23,51,45.5
288,D0039,R021,2026-06-30,51,56.5
289,D0039,R008,2025-10-03,51,58.2
290,D0039,R021,2025-12-03,51,50.4
291,D0040,R002,2025-08-16,66,69.5
292,D0040,R002,2026-03-02,66,65.4
293,D0040,R001,2026-02-03,66,67.6
294,D0041,R006,2026-03-17,55,50.5
295,D0041,R024,2025-12-06,55,52.8
296,D0041,R007,2026-03-19,55,53.1
297,D0041,R005,2025-09-20,55,64.1
298,D0041,R006,2026-05-27,55,63.3
299,D0041,R024,2025-09-20,55,56.3
300,D0041,R005,2025-09-09,55,56.2
301,D0041,R024,2025-07-28,55,57.1
302,D0041,R024,2025-07-20,55,58.0
303,D0041,R017,2026-03-31,55,53.8
304,D0041,R007,2026-04-28,55,59.2
305,D0041,R007,2026-02-18,55,60.3
306,D0041,R003,2026-03-07,55,59.2
307,D0042,R021,2026-01-18,59,64.5
308,D0042,R021,2026-02-26,59,64.9
309,D0042,R009,2026-02-26,59,61.6
310,D0043,R011,2025-12-20,68,68.6
311,D0043,R010,2026-05-30,68,69.4
312,D0043,R011,2025-12-04,68,68.7
313,D0043,R015,2026-06-17,68,71.0
314,D0043,R011,2026-06-17,68,72.6
315,D0043,R015,2026-03-05,68,74.7
316,D0044,R012,2025-12-24,7,10.3
317,D0044,R012,2026-03-26,7,11.0
318,D0044,R012,2025-08-01,7,7.6
319,D0044,R013,2025-09-22,7,2.3
320,D0044,R012,2026-06-06,7,13.9
321,D0044,R012,2025-08-29,7,15.6
322,D0044,R004,2026-01-14,7,11.7
323,D0044,R012,2025-10-08,7,10.8
324,D0044,R025,2026-06-30,7,14.4
325,D0044,R013,2025-07-27,7,8.6
326,D0044,R012,2025-08-06,7,7.1
327,D0044,R004,2025-12-07,7,11.2
328,D0044,R012,2026-07-10,7,13.6
329,D0044,R012,2026-04-06,7,11.1
330,D0045,R009,2025-11-26,55,56.8
331,D0045,R008,2026-02-10,55,58.5
332,D0045,R014,2026-05-04,55,54.3
333,D0045,R021,2026-02-28,55,53.6
334,D0046,R018,2025-11-02,11,16.2
335,D0046,R022,2025-10-23,11,12.3
336,D0046,R019,2025-09-26,11,7.3
337,D0046,R001,2025-09-09,11,12.6
338,D0046,R001,2025-12-12,11,14.5
339,D0047,R014,2026-05-09,25,29.2
340,D0047,R021,2026-05-04,25,25.4
341,D0047,R014,2026-03-28,25,25.1
342,D0047,R008,2026-06-13,25,24.2
343,D0047,R008,2025-09-28,25,29.1
344,D0047,R021,2025-11-23,25,31.4
345,D0048,R011,2026-06-19,77,82.9
346,D0048,R011,2025-09-13,77,82.2
347,D0048,R016,2026-03-11,77,75.6
348,D0049,R014,2025-12-18,43,43.7
349,D0049,R009,2025-09-23,43,44.6
350,D0049,R009,2025-10-31,43,43.7
351,D0049,R008,2025-07-22,43,50.4
352,D0049,R009,2025-12-11,43,42.0
353,D0049,R014,2025-11-02,43,40.7
354,D0049,R009,2026-05-15,43,46.8
355,D0049,R021,2025-12-17,43,42.4
356,D0049,R021,2026-04-27,43,52.1
357,D0049,R021,2025-08-23,43,51.0
358,D0049,R014,2025-09-08,43,45.0
359,D0049,R021,2026-04-15,43,48.3
360,D0050,R015,2025-10-27,22,28.5
361,D0050,R010,2025-10-31,22,21.9
362,D0050,R016,2026-02-05,22,21.1
363,D0050,R010,2025-10-06,22,24.9
364,D0050,R016,2025-10-21,22,17.3
365,D0050,R011,2026-05-28,22,26.5
366,D0050,R015,2025-12-11,22,21.8
367,D0051,R013,2025-11-11,8,12.6
368,D0051,R013,2025-12-21,8,11.2
369,D0051,R004,2025-09-04,8,7.4
370,D0051,R013,2025-12-25,8,11.7
371,D0051,R004,2026-06-27,8,10.9
372,D0051,R025,2026-04-27,8,13.0
373,D0051,R013,2026-07-08,8,8.5
374,D0051,R013,2026-05-17,8,8.1
375,D0052,R024,2025-07-27,93,92.1
376,D0052,R003,2026-01-13,93,90.9
377,D0052,R003,2026-05-03,93,94.5
378,D0052,R006,2026-02-27,93,95.7
379,D0052,R003,2026-04-17,93,94.6
380,D0052,R005,2025-08-25,93,96.0
381,D0053,R021,2026-01-29,64,68.4
382,D0053,R014,2026-03-23,64,66.6
383,D0053,R021,2025-09-19,64,75.7
384,D0054,R014,2026-04-28,18,19.8
385,D0054,R009,2026-01-12,18,20.2
386,D0054,R014,2025-09-25,18,23.7
387,D0054,R009,2025-12-18,18,18.8
388,D0054,R009,2026-04-22,18,20.3
389,D0054,R014,2026-04-13,18,21.5
390,D0054,R021,2026-05-30,18,20.0
391,D0055,R012,2026-05-30,13,20.1
392,D0055,R013,2025-10-18,13,8.3
393,D0055,R013,2026-05-05,13,16.3
394,D0056,R009,2025-12-27,94,98.8
395,D0056,R009,2025-10-07,94,92.5
396,D0056,R021,2026-06-22,94,100.9
397,D0056,R008,2026-05-23,94,97.6
398,D0056,R014,2026-01-22,94,100.2
399,D0056,R014,2025-09-26,94,99.3
400,D0056,R008,2026-05-03,94,98.4
401,D0056,R009,2026-05-24,94,88.8
402,D0056,R009,2026-05-08,94,102.8
403,D0056,R014,2025-11-05,94,95.0
404,D0057,R014,2026-03-04,57,58.5
405,D0057,R014,2026-03-27,57,60.0
406,D0057,R009,2026-01-30,57,54.3
407,D0057,R014,2026-04-15,57,59.6
408,D0057,R021,2025-08-10,57,63.1
409,D0057,R009,2025-08-28,57,54.1
410,D0058,R010,2026-06-29,6,6.2
411,D0058,R011,2025-08-07,6,7.4
412,D0058,R015,2026-06-25,6,3.2
413,D0058,R015,2025-12-14,6,8.0
414,D0058,R016,2026-05-02,6,9.8
415,D0059,R024,2026-03-09,88,89.4
416,D0059,R003,2025-08-15,88,93.4
417,D0059,R017,2025-12-18,88,88.9
418,D0059,R005,2026-07-07,88,93.1
419,D0059,R003,2025-08-31,88,90.7
420,D0059,R024,2025-08-27,88,88.0
421,D0059,R003,2025-09-17,88,91.5
422,D0059,R017,2025-07-19,88,86.9
423,D0059,R017,2026-01-07,88,88.4
424,D0059,R007,2026-06-17,88,90.3
425,D0059,R007,2026-01-05,88,90.6
426,D0059,R024,2026-07-04,88,86.6
427,D0059,R017,2026-01-22,88,91.6
428,D0059,R017,2026-04-17,88,82.6
429,D0060,R025,2026-04-11,96,96.4
430,D0060,R025,2026-05-30,96,103.4
431,D0060,R025,2026-04-13,96,96.3
432,D0060,R004,2025-10-19,96,99.5
433,D0060,R025,2025-08-24,96,96.9
434,D0061,R016,2026-01-21,64,66.2
435,D0061,R016,2026-01-28,64,64.4
436,D0061,R010,2025-10-21,64,64.1
437,D0061,R011,2026-04-11,64,66.7
438,D0061,R016,2025-08-05,64,61.8
439,D0061,R015,2026-06-07,64,65.4
440,D0061,R016,2025-12-08,64,65.4
441,D0062,R011,2025-09-24,75,77.1
442,D0062,R010,2026-07-03,75,76.8
443,D0062,R015,2025-07-22,75,78.4
444,D0062,R015,2026-03-11,75,76.4
445,D0062,R015,2026-06-04,75,81.2
446,D0062,R016,2026-02-24,75,80.0
447,D0062,R011,2026-06-13,75,78.6
448,D0062,R010,2025-09-14,75,75.4
449,D0063,R025,2025-10-16,48,54.5
450,D0063,R004,2026-03-24,48,52.1
451,D0063,R012,2025-09-18,48,52.4
452,D0063,R025,2026-04-07,48,41.9
453,D0063,R004,2026-06-07,48,48.3
454,D0063,R013,2025-10-07,48,48.3
455,D0063,R012,2025-07-31,48,50.4
456,D0063,R012,2026-05-16,48,48.1
457,D0063,R013,2026-01-09,48,47.7
458,D0063,R004,2025-10-22,48,50.6
459,D0063,R004,2026-03-03,48,52.7
460,D0063,R012,2026-07-13,48,53.4
461,D0063,R025,2026-05-22,48,51.5
462,D0064,R021,2026-02-11,12,15.0
463,D0064,R008,2025-08-20,12,11.6
464,D0064,R009,2025-09-13,12,11.8
465,D0064,R008,2026-07-07,12,16.7
466,D0064,R021,2026-06-20,12,19.0
467,D0064,R021,2026-03-29,12,12.4
468,D0064,R021,2026-01-07,12,16.3
469,D0064,R021,2025-08-17,12,22.0
470,D0064,R014,2025-07-18,12,19.3
471,D0064,R021,2026-07-11,12,18.5
472,D0064,R014,2025-10-02,12,19.7
473,D0065,R009,2026-01-21,51,54.8
474,D0065,R014,2025-11-18,51,53.1
475,D0066,R025,2026-02-19,39,39.7
476,D0066,R013,2026-03-22,39,40.2
477,D0067,R017,2025-09-24,82,81.2
478,D0067,R005,2025-11-12,82,87.7
479,D0067,R006,2026-01-07,82,86.0
480,D0067,R006,2025-11-15,82,81.3
481,D0067,R024,2026-03-21,82,86.8
482,D0067,R024,2026-06-09,82,89.8
483,D0067,R003,2025-07-23,82,88.1
484,D0067,R006,2026-03-30,82,82.2
485,D0068,R023,2026-04-29,85,89.6
486,D0068,R018,2025-12-19,85,88.6
487,D0068,R022,2026-04-14,85,89.1
488,D0069,R016,2026-03-17,40,48.7
489,D0069,R016,2025-12-11,40,41.4
490,D0069,R010,2026-01-10,40,44.6
491,D0069,R015,2025-12-18,40,40.7
492,D0069,R015,2026-02-25,40,43.3
493,D0069,R010,2025-10-03,40,45.6
494,D0069,R010,2026-06-23,40,37.2
495,D0069,R010,2025-09-24,40,33.9
496,D0069,R015,2025-09-09,40,43.9
497,D0069,R010,2026-03-09,40,36.0
498,D0069,R016,2025-12-31,40,41.0
499,D0069,R015,2025-09-13,40,44.3
500,D0069,R015,2025-11-22,40,45.9
501,D0069,R016,2025-11-06,40,39.9
502,D0070,R016,2026-05-04,54,52.6
503,D0070,R016,2026-05-25,54,57.8
504,D0070,R016,2025-07-30,54,56.2
505,D0070,R011,2025-09-01,54,58.3
506,D0070,R015,2026-03-25,54,53.7
507,D0070,R015,2026-03-17,54,56.7
508,D0070,R010,2026-03-17,54,58.2
509,D0070,R010,2025-07-28,54,57.3
510,D0070,R011,2025-07-30,54,60.0
511,D0070,R010,2025-12-24,54,54.4
512,D0070,R011,2026-03-05,54,54.2
513,D0070,R015,2025-08-19,54,55.1
514,D0070,R010,2026-02-05,54,55.6
515,D0071,R021,2026-06-18,8,9.8
516,D0071,R009,2025-10-28,8,12.1
517,D0071,R009,2025-11-23,8,5.9
518,D0071,R008,2026-04-28,8,13.9
519,D0071,R009,2026-04-05,8,9.8
520,D0071,R021,2025-09-25,8,10.0
521,D0071,R021,2025-09-04,8,12.9
522,D0072,R009,2026-04-06,6,5.6
523,D0072,R008,2025-09-22,6,9.2
524,D0072,R021,2026-01-07,6,9.0
525,D0072,R009,2025-10-15,6,8.9
526,D0072,R008,2026-04-28,6,6.6
527,D0072,R014,2025-07-31,6,7.0
528,D0072,R009,2025-12-01,6,5.4
529,D0072,R014,2026-04-29,6,12.3
530,D0072,R021,2025-09-03,6,14.9
531,D0072,R008,2026-04-30,6,8.4
532,D0072,R014,2025-12-22,6,9.1
533,D0072,R014,2025-10-24,6,7.3
534,D0072,R021,2025-11-26,6,10.9
535,D0072,R014,2026-04-29,6,11.3
536,D0073,R011,2026-02-28,10,12.9
537,D0073,R011,2025-10-01,10,18.4
538,D0073,R011,2025-12-07,10,12.5
539,D0073,R016,2025-11-10,10,7.0
540,D0073,R015,2025-10-17,10,16.5
541,D0073,R011,2025-12-05,10,13.6
542,D0073,R010,2025-10-03,10,7.4
543,D0074,R013,2025-08-12,58,63.3
544,D0074,R012,2026-04-11,58,60.5
545,D0074,R004,2025-12-17,58,61.3
546,D0074,R012,2025-12-06,58,64.3
547,D0074,R025,2025-07-16,58,64.7
548,D0074,R012,2025-09-08,58,60.1
549,D0075,R006,2026-02-24,8,9.6
550,D0075,R024,2026-02-08,8,7.9
551,D0075,R017,2026-02-07,8,7.0
552,D0075,R006,2025-08-21,8,9.8
553,D0075,R005,2025-10-15,8,12.0
554,D0076,R004,2025-11-27,58,59.2
555,D0076,R004,2025-08-18,58,60.7
556,D0077,R012,2025-08-03,97,104.8
557,D0077,R012,2025-10-07,97,103.6
558,D0077,R013,2025-12-30,97,99.8
559,D0077,R012,2025-10-06,97,97.3
560,D0077,R004,2026-05-09,97,98.3
561,D0077,R025,2025-12-21,97,100.8
562,D0078,R021,2026-07-06,67,73.2
563,D0078,R008,2025-09-07,67,68.6
564,D0078,R021,2026-02-23,67,68.8
565,D0078,R008,2026-03-05,67,73.8
566,D0078,R021,2025-10-01,67,73.2
567,D0078,R014,2026-03-30,67,72.1
568,D0078,R021,2025-07-29,67,72.0
569,D0078,R009,2026-01-13,67,63.4
570,D0078,R021,2025-10-31,67,71.1
571,D0078,R009,2026-02-16,67,71.1
572,D0079,R004,2026-05-25,22,24.0
573,D0079,R013,2026-03-24,22,16.2
574,D0080,R004,2026-05-15,94,91.3
575,D0080,R013,2025-10-12,94,96.0
576,D0080,R012,2025-10-02,94,95.4
577,D0080,R012,2026-03-13,94,97.6
578,D0080,R025,2026-05-23,94,101.2
579,D0080,R012,2025-12-03,94,95.5
580,D0080,R004,2026-03-16,94,91.1
581,D0080,R012,2026-06-12,94,100.2
582,D0080,R013,2026-05-25,94,91.8
583,D0080,R025,2025-12-23,94,98.4
584,D0080,R004,2026-04-13,94,93.8
585,D0081,R020,2026-04-17,48,51.7
586,D0081,R020,2025-09-13,48,54.9
587,D0081,R019,2025-12-15,48,49.0
588,D0081,R019,2025-12-17,48,51.1
589,D0081,R020,2026-02-05,48,49.0
590,D0082,R019,2025-12-12,38,43.4
591,D0082,R002,2025-10-18,38,32.5
592,D0082,R018,2025-10-22,38,44.2
593,D0082,R023,2026-04-21,38,44.7
594,D0083,R010,2026-01-29,78,76.3
595,D0083,R010,2026-05-17,78,82.8
596,D0083,R010,2026-03-09,78,79.7
597,D0083,R015,2025-09-27,78,86.8
598,D0083,R016,2026-06-04,78,81.0
599,D0083,R011,2025-07-29,78,79.1
600,D0083,R016,2025-10-15,78,77.4
601,D0083,R016,2026-07-07,78,82.5
602,D0083,R011,2025-12-29,78,80.5
603,D0083,R015,2026-01-26,78,78.3
604,D0083,R015,2026-07-13,78,80.2
605,D0083,R011,2026-07-09,78,82.1
606,D0083,R015,2026-03-18,78,83.3
607,D0084,R003,2026-01-12,66,66.2
608,D0084,R006,2025-11-22,66,66.0
609,D0084,R024,2026-03-10,66,68.4
610,D0084,R005,2025-07-17,66,73.0
611,D0084,R024,2025-11-18,66,69.3
612,D0084,R006,2025-10-26,66,61.2
613,D0084,R005,2026-03-28,66,73.5
614,D0085,R025,2025-10-08,18,20.6
615,D0085,R013,2025-11-03,18,13.4
616,D0085,R004,2026-06-08,18,21.9
617,D0085,R012,2025-09-23,18,21.1
618,D0085,R012,2026-04-08,18,28.7
619,D0085,R004,2026-05-27,18,22.9
620,D0085,R012,2026-05-13,18,19.8
621,D0085,R012,2025-11-06,18,23.2
622,D0085,R012,2025-10-20,18,22.5
623,D0085,R004,2025-11-26,18,22.9
624,D0085,R013,2026-01-05,18,19.6
625,D0085,R012,2025-08-03,18,20.6
626,D0085,R013,2026-07-02,18,25.2
627,D0085,R004,2026-02-14,18,19.6
628,D0086,R020,2025-11-27,99,100.5
629,D0086,R002,2026-07-10,99,102.5
630,D0086,R020,2025-08-28,99,100.0
631,D0086,R002,2026-01-12,99,95.2
632,D0086,R002,2026-01-06,99,102.2
633,D0086,R001,2026-05-26,99,109.1
